#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5mm_SINGLE_LAYER"
-0.008420774 0.914399982 0.001348563
-0.007438227 0.914399982 -0.000433413
-0.006566402 0.914399981 -0.001825090
-0.005702632 0.914399982 -0.002980958
-0.004731167 0.914399981 -0.004059890
-0.003588276 0.914399981 -0.005238663
-0.002247467 0.914399982 -0.006651789
-0.000759984 0.914399982 -0.008269848
0.000872724 0.914399981 -0.010001183
0.002500379 0.914399981 -0.011647252
0.004129749 0.914399982 -0.013204148
0.005846365 0.914399981 -0.014663692
0.007764176 0.914399982 -0.016033159
0.009993332 0.914399982 -0.017458815
0.012558926 0.914399982 -0.018958494
0.015179136 0.914399982 -0.020029669
0.017355021 0.914399982 -0.020795174
0.019230852 0.914399981 -0.021499028
0.021181858 0.914399982 -0.022006183
0.023201599 0.914399982 -0.022455140
0.025228829 0.914399981 -0.022906069
0.027273635 0.914399982 -0.023344491
0.029344530 0.914399981 -0.023752249
0.031433663 0.914399982 -0.024114067
0.033535788 0.914399981 -0.024414536
0.035658139 0.914399981 -0.024644372
0.037816129 0.914399982 -0.024806289
0.040004793 0.914399982 -0.024885732
0.042179400 0.914399982 -0.024833190
0.044282184 0.914399982 -0.024696530
0.046312355 0.914399982 -0.024492361
0.048291172 0.914399981 -0.024240753
0.050237089 0.914399982 -0.023964812
0.052163328 0.914399981 -0.023681173
0.054078869 0.914399982 -0.023400029
0.055989079 0.914399982 -0.023128884
0.057895943 0.914399981 -0.022873407
0.059799325 0.914399981 -0.022638332
0.061704797 0.914399982 -0.022433493
0.063619351 0.914399981 -0.022346371
0.065537275 0.914399982 -0.022453081
0.067441699 0.914399982 -0.022745363
0.069335497 0.914399982 -0.023113521
0.071230846 0.914399982 -0.023473610
0.073127682 0.914399982 -0.023825779
0.075025925 0.914399982 -0.024170289
0.076925505 0.914399982 -0.024507343
0.078826358 0.914399982 -0.024837144
0.080728423 0.914399982 -0.025159880
0.082631636 0.914399982 -0.025475779
0.084535948 0.914399982 -0.025784981
0.086441307 0.914399982 -0.026087664
0.088348805 0.914399982 -0.026384122
0.090352709 0.914399982 -0.026688691
0.092457869 0.914399982 -0.027001427
0.094669425 0.914399982 -0.027322048
0.096992758 0.914399982 -0.027650325
0.099433487 0.914399982 -0.027986198
0.101997541 0.914399982 -0.028329373
0.104691153 0.914399982 -0.028679429
0.107520848 0.914399982 -0.029036028
0.110493459 0.914399982 -0.029398924
0.113616215 0.914399982 -0.029767342
0.116896650 0.914399982 -0.030140891
0.120342695 0.914399982 -0.030518910
0.123962670 0.914399982 -0.030900688
0.127710914 0.914399982 -0.031280077
0.131460695 0.914399982 -0.031643962
0.135211909 0.914399982 -0.031992756
0.138964440 0.914399982 -0.032327085
0.142718193 0.914399982 -0.032647409
0.146473081 0.914399982 -0.032954147
0.150229019 0.914399982 -0.033247730
0.153985931 0.914399982 -0.033528593
0.157743744 0.914399982 -0.033797113
0.161502396 0.914399982 -0.034053637
0.165261824 0.914399982 -0.034298525
0.169021974 0.914399982 -0.034532062
0.172782789 0.914399982 -0.034754629
0.176544219 0.914399982 -0.034966552
0.180306218 0.914399982 -0.035168126
0.184068741 0.914399982 -0.035359661
0.187831753 0.914399982 -0.035541348
0.191595215 0.914399982 -0.035713463
0.195359088 0.914399982 -0.035876330
0.199123339 0.914399982 -0.036030206
0.202887943 0.914399982 -0.036175205
0.206652867 0.914399982 -0.036311645
0.210418083 0.914399982 -0.036439787
0.214183568 0.914399982 -0.036559734
0.217949298 0.914399982 -0.036671734
0.221715248 0.914399982 -0.036776072
0.225481402 0.914399982 -0.036872782
0.229247738 0.914399982 -0.036962145
0.233014235 0.914399982 -0.037044398
0.236780881 0.914399982 -0.037119519
