VARIABLES = "CoordinateX" "CoordinateY" "CoordinateZ"
ZONE T="SLICE_Y_0p9144"
0.21430395 0.91440 -0.03091825
0.21687327 0.91440 -0.03081878
0.21944259 0.91440 -0.03071932
0.22201121 0.91440 -0.03060987
0.22458981 0.91440 -0.03049973
0.22715843 0.91440 -0.03039028
0.22972636 0.91440 -0.03027086
0.23230426 0.91440 -0.03015075
0.23487148 0.91440 -0.03002135
0.23744939 0.91440 -0.02990123
0.24001661 0.91440 -0.02977184
0.24258314 0.91440 -0.02963246
0.24516035 0.91440 -0.02950237
0.24772688 0.91440 -0.02936300
0.25030268 0.91440 -0.02921295
0.25286921 0.91440 -0.02907358
0.25543505 0.91440 -0.02892424
0.25801085 0.91440 -0.02877419
0.26057599 0.91440 -0.02861487
0.26315110 0.91440 -0.02845485
0.26571623 0.91440 -0.02829552
0.26828137 0.91440 -0.02813620
0.27085648 0.91440 -0.02797618
0.27342092 0.91440 -0.02780688
0.27599533 0.91440 -0.02763689
0.27855907 0.91440 -0.02745761
0.28113348 0.91440 -0.02728762
0.28369722 0.91440 -0.02710834
0.28626096 0.91440 -0.02692907
0.28883468 0.91440 -0.02674910
0.29139772 0.91440 -0.02655985
0.29397074 0.91440 -0.02636990
0.29653378 0.91440 -0.02618065
0.29910679 0.91440 -0.02599070
0.30166914 0.91440 -0.02579148
0.30423218 0.91440 -0.02560223
0.30680450 0.91440 -0.02540230
0.30936685 0.91440 -0.02520308
0.31193847 0.91440 -0.02499318
0.31450081 0.91440 -0.02479395
0.31706246 0.91440 -0.02458475
0.31963408 0.91440 -0.02437486
0.32219573 0.91440 -0.02416565
0.32476665 0.91440 -0.02394578
0.32732830 0.91440 -0.02373658
0.32988925 0.91440 -0.02351740
0.33246018 0.91440 -0.02329753
0.33502113 0.91440 -0.02307835
0.33759135 0.91440 -0.02284850
0.34015230 0.91440 -0.02262932
0.34271255 0.91440 -0.02240017
0.34528278 0.91440 -0.02217032
0.34784303 0.91440 -0.02194117
0.35041326 0.91440 -0.02171132
0.35297281 0.91440 -0.02147219
0.35553237 0.91440 -0.02123306
0.35810260 0.91440 -0.02100321
0.36066215 0.91440 -0.02076409
0.36322101 0.91440 -0.02051498
0.36579054 0.91440 -0.02027516
0.36834939 0.91440 -0.02002605
0.37090895 0.91440 -0.01978693
0.37347778 0.91440 -0.01953712
0.37603664 0.91440 -0.01928802
0.37859480 0.91440 -0.01902894
0.38116363 0.91440 -0.01877914
0.38372179 0.91440 -0.01852006
0.38628064 0.91440 -0.01827096
0.38884878 0.91440 -0.01801118
0.39140694 0.91440 -0.01775210
0.39396440 0.91440 -0.01748305
0.39652256 0.91440 -0.01722397
0.39909000 0.91440 -0.01695421
0.40164815 0.91440 -0.01669514
0.40420562 0.91440 -0.01642608
0.40677305 0.91440 -0.01615633
0.40932982 0.91440 -0.01587730
0.41188728 0.91440 -0.01560824
0.41444404 0.91440 -0.01532921
0.41701148 0.91440 -0.01505946
0.41956824 0.91440 -0.01478043
0.42212501 0.91440 -0.01450140
0.42468107 0.91440 -0.01421239
0.42723784 0.91440 -0.01393336
0.42980458 0.91440 -0.01365363
0.43236064 0.91440 -0.01336463
0.43491671 0.91440 -0.01307562
0.43747278 0.91440 -0.01278662
0.44002884 0.91440 -0.01249761
0.44259419 0.91440 -0.01219793
0.44515025 0.91440 -0.01190892
0.44770562 0.91440 -0.01160994
0.45026099 0.91440 -0.01131096
0.45281636 0.91440 -0.01101198
0.45537173 0.91440 -0.01071300
0.45793707 0.91440 -0.01041332
0.46049175 0.91440 -0.01010436
0.46304711 0.91440 -0.00980538
0.46560179 0.91440 -0.00949642
0.46815646 0.91440 -0.00918746
0.47071113 0.91440 -0.00887850
0.47326510 0.91440 -0.00855957
0.47581977 0.91440 -0.00825061
0.47837375 0.91440 -0.00793168
0.48092772 0.91440 -0.00761275
0.48348169 0.91440 -0.00729382
0.48603567 0.91440 -0.00697488
0.48858894 0.91440 -0.00664597
0.49114292 0.91440 -0.00632704
0.49369619 0.91440 -0.00599813
0.49624947 0.91440 -0.00566922
0.49880275 0.91440 -0.00534031
0.50135602 0.91440 -0.00501141
0.50390860 0.91440 -0.00467252
0.50646118 0.91440 -0.00433364
0.50901376 0.91440 -0.00399475
0.51156634 0.91440 -0.00365587
0.51411891 0.91440 -0.00331698
0.51667149 0.91440 -0.00297810
0.51922337 0.91440 -0.00262924
0.52177526 0.91440 -0.00228038
0.52432714 0.91440 -0.00193152
0.52686904 0.91440 -0.00158336
0.52942023 0.91440 -0.00122452
0.53106851 0.91440 -0.00099899
0.53210109 0.91440 -0.00085662
0.53274602 0.91440 -0.00076140
0.53315293 0.91440 -0.00070287
0.53340162 0.91440 -0.00067545
0.08693166 0.91440 -0.02916903
0.08549907 0.91440 -0.02903865
0.08405651 0.91440 -0.02890896
0.08261325 0.91440 -0.02876930
0.08117997 0.91440 -0.02862894
0.07973601 0.91440 -0.02847930
0.07830203 0.91440 -0.02832896
0.07685808 0.91440 -0.02817932
0.07542340 0.91440 -0.02801901
0.07398872 0.91440 -0.02785870
0.07255405 0.91440 -0.02769838
0.07111867 0.91440 -0.02752810
0.06968260 0.91440 -0.02734783
0.06824652 0.91440 -0.02716757
0.06681045 0.91440 -0.02698730
0.06537368 0.91440 -0.02679706
0.06394619 0.91440 -0.02659615
0.06250872 0.91440 -0.02639594
0.06108123 0.91440 -0.02619502
0.05965304 0.91440 -0.02598414
0.05821418 0.91440 -0.02576397
0.05678529 0.91440 -0.02554311
0.05536568 0.91440 -0.02531157
0.05393609 0.91440 -0.02508073
0.05250581 0.91440 -0.02483991
0.05108481 0.91440 -0.02458843
0.04966380 0.91440 -0.02433694
0.04824210 0.91440 -0.02407547
0.04681970 0.91440 -0.02380403
0.04539730 0.91440 -0.02353259
0.04398348 0.91440 -0.02324051
0.04255969 0.91440 -0.02294911
0.04114587 0.91440 -0.02265703
0.03974063 0.91440 -0.02234429
0.03832472 0.91440 -0.02202227
0.03691878 0.91440 -0.02169956
0.03551145 0.91440 -0.02135690
0.03410412 0.91440 -0.02101423
0.03270537 0.91440 -0.02065092
0.03130662 0.91440 -0.02028761
0.02991645 0.91440 -0.01990364
0.02852558 0.91440 -0.01950971
0.02713332 0.91440 -0.01909582
0.02575103 0.91440 -0.01868123
0.02437732 0.91440 -0.01824600
0.02300222 0.91440 -0.01779081
0.02163640 0.91440 -0.01732495
0.02026848 0.91440 -0.01682916
0.01891982 0.91440 -0.01632201
0.01756976 0.91440 -0.01579490
0.01622828 0.91440 -0.01524714
0.01490467 0.91440 -0.01466806
0.01358963 0.91440 -0.01406833
0.01229245 0.91440 -0.01343728
0.01100315 0.91440 -0.01277561
0.00974099 0.91440 -0.01207194
0.00850597 0.91440 -0.01132627
0.00728810 0.91440 -0.01053931
0.00615933 0.91440 -0.00973609
0.00514098 0.91440 -0.00893518
0.00423306 0.91440 -0.00813656
0.00343696 0.91440 -0.00736020
0.00274271 0.91440 -0.00660680
0.00213825 0.91440 -0.00584711
0.00161498 0.91440 -0.00510180
0.00117222 0.91440 -0.00436088
0.00080068 0.91440 -0.00363503
0.00051962 0.91440 -0.00291287
0.00028844 0.91440 -0.00218723
0.00012709 0.91440 -0.00145671
0.00003557 0.91440 -0.00072130
-0.00000468 0.91440 -0.00000236
0.53340162 0.91440 -0.00067545
0.53339793 0.91440 0.00066756
