VARIABLES = "CoordinateX" "CoordinateY" "CoordinateZ"
ZONE T="SLICE_Y_0p1"
 3.381423964E-01 1.000000000E-01 4.608621595E-02
 3.532453355E-01 1.000000000E-01 4.645671583E-02
 3.688185097E-01 1.000000000E-01 4.676412001E-02
 3.848368344E-01 1.000000000E-01 4.699953669E-02
 4.012709119E-01 1.000000000E-01 4.715391241E-02
 4.180871270E-01 1.000000000E-01 4.721828453E-02
 4.352478276E-01 1.000000000E-01 4.718403001E-02
 4.527115896E-01 1.000000000E-01 4.704322553E-02
 4.704335673E-01 1.000000000E-01 4.678967752E-02
 4.883659226E-01 1.000000000E-01 4.641939778E-02
 5.064583277E-01 1.000000000E-01 4.592981788E-02
 5.246585292E-01 1.000000000E-01 4.532119667E-02
 5.429129611E-01 1.000000000E-01 4.459679386E-02
 5.611673931E-01 1.000000000E-01 4.376245974E-02
 5.793675945E-01 1.000000000E-01 4.282642236E-02
 5.974599997E-01 1.000000000E-01 4.179886278E-02
 6.153923550E-01 1.000000000E-01 4.069165226E-02
 6.331143326E-01 1.000000000E-01 3.951790909E-02
 6.505780946E-01 1.000000000E-01 3.829102786E-02
 6.677387952E-01 1.000000000E-01 3.702416104E-02
 6.845550104E-01 1.000000000E-01 3.572984148E-02
 7.009890878E-01 1.000000000E-01 3.441962381E-02
 7.170074126E-01 1.000000000E-01 3.310361651E-02
 7.325805868E-01 1.000000000E-01 3.179040360E-02
 7.476835258E-01 1.000000000E-01 3.048709486E-02
 7.622954745E-01 1.000000000E-01 2.919938626E-02
 7.763999493E-01 1.000000000E-01 2.793166163E-02
 7.899846152E-01 1.000000000E-01 2.668717950E-02
 8.030411060E-01 1.000000000E-01 2.546837601E-02
 8.155647973E-01 1.000000000E-01 2.427716025E-02
 8.275545429E-01 1.000000000E-01 2.311490956E-02
 8.390123845E-01 1.000000000E-01 2.198275012E-02
 8.499432431E-01 1.000000000E-01 2.088155183E-02
 8.603546015E-01 1.000000000E-01 1.981220881E-02
 8.702561853E-01 1.000000000E-01 1.877563648E-02
 8.796596485E-01 1.000000000E-01 1.777268634E-02
 8.885782701E-01 1.000000000E-01 1.680417577E-02
 8.970266650E-01 1.000000000E-01 1.587075503E-02
 9.050205132E-01 1.000000000E-01 1.497309749E-02
 9.125763090E-01 1.000000000E-01 1.411172651E-02
 9.197111329E-01 1.000000000E-01 1.328690657E-02
 9.264424450E-01 1.000000000E-01 1.249889945E-02
 9.327879023E-01 1.000000000E-01 1.174771458E-02
 9.387651973E-01 1.000000000E-01 1.103309132E-02
 9.443919184E-01 1.000000000E-01 1.035464332E-02
 9.496854306E-01 1.000000000E-01 9.711728176E-03
 9.546627754E-01 1.000000000E-01 9.103588516E-03
