TITLE     = ""
VARIABLES = "CoordinateX_Iced"
"CoordinateY_Iced"
ZONE T="Slice-SOL_SURFACE_DROP_DATA_BF_LAGRANGIAN_CASE_241_IPW1_layer020_20_LAYERS_DISTRIBUTION_DROP_LAGRANGIAN_NO_SLD-step0_WALL-0.0005"
 STRANDID=0, SOLUTIONTIME=0
 I=243, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 AUXDATA HIGHLIGHT_X="-0.000297954642"
 AUXDATA HIGHLIGHT_Y="0.002061321642"
 AUXDATA HIGHLIGHT_Z="0.000000000000"
 AUXDATA INTEGRATED_ICE_MASS="0.000000000000"
 AUXDATA LOWER_HORN_ANGLE="256.218722006026"
 AUXDATA LOWER_HORN_HEIGHT="0.000589098455"
 AUXDATA UPPER_HORN_ANGLE="139.389421935915"
 AUXDATA UPPER_HORN_HEIGHT="0.000576693944"
 DT=(SINGLE SINGLE )
 2.600435019E-01 2.638860233E-02
 2.654416859E-01 2.585446835E-02
 2.708375156E-01 2.530028671E-02
 2.762326598E-01 2.474257536E-02
 2.816256583E-01 2.416847833E-02
 2.870176136E-01 2.358845435E-02
 2.924079001E-01 2.299733832E-02
 2.977965772E-01 2.239628509E-02
 3.031837642E-01 2.178663947E-02
 3.085690737E-01 2.116598375E-02
 3.139532804E-01 2.054123394E-02
 3.193349540E-01 1.990021579E-02
 3.247155249E-01 1.925610937E-02
 3.300937712E-01 1.859899610E-02
 3.354706466E-01 1.793709770E-02
 3.408454657E-01 1.726496592E-02
 3.462184072E-01 1.658486761E-02
 3.515895009E-01 1.589755900E-02
 3.569584191E-01 1.520033926E-02
 3.623258770E-01 1.449952554E-02
 3.676902950E-01 1.378328726E-02
 3.730531633E-01 1.306355093E-02
 3.784135878E-01 1.233356632E-02
 3.837718666E-01 1.159650832E-02
 3.891281784E-01 1.085337158E-02
 3.944816589E-01 1.009876840E-02
 3.998327553E-01 9.336299263E-03
 4.051814079E-01 8.565672673E-03
 4.103330374E-01 7.815046236E-03
 4.150153399E-01 7.125691511E-03
 4.192710817E-01 6.493094377E-03
 4.231391549E-01 5.912882742E-03
 4.266549349E-01 5.380839109E-03
 4.298505485E-01 4.893782549E-03
 4.327552021E-01 4.447943065E-03
 4.353954196E-01 4.040183034E-03
 4.377953112E-01 3.667539684E-03
 4.399767816E-01 3.327124752E-03
 4.419597089E-01 3.016197821E-03
 4.437621832E-01 2.732325112E-03
 4.454006255E-01 2.473219996E-03
 4.468899667E-01 2.236770699E-03
 4.482438266E-01 2.021167194E-03
 4.494745135E-01 1.824625186E-03
 4.505932331E-01 1.645507640E-03
 4.516102076E-01 1.482295687E-03
 4.525346756E-01 1.333585475E-03
 4.533750415E-01 1.198107493E-03
 4.541389942E-01 1.074726228E-03
 4.548334777E-01 9.623799124E-04
 4.555279016E-01 8.498500101E-04
 4.561813474E-01 7.437954773E-04
 4.568347335E-01 6.375842495E-04
 4.572128057E-01 5.760720233E-04
 4.572043121E-01 1.931304869E-04
 4.571957588E-01 -1.914679888E-04
