VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
0.05528 0.10000 -0.04110 
0.05478 0.10000 -0.03934 
0.05460 0.10000 -0.03871 
0.05432 0.10000 -0.03688 
0.05421 0.10000 -0.03626 
0.05402 0.10000 -0.03449 
0.05394 0.10000 -0.03391 
0.05387 0.10000 -0.03216 
0.05385 0.10000 -0.03161 
0.05385 0.10000 -0.02992 
0.05382 0.10000 -0.02945 
0.05383 0.10000 -0.02790 
0.05383 0.10000 -0.02746 
0.05389 0.10000 -0.02598 
0.05391 0.10000 -0.02558 
0.05403 0.10000 -0.02416 
0.05406 0.10000 -0.02380 
0.05422 0.10000 -0.02245 
0.05426 0.10000 -0.02214 
0.05444 0.10000 -0.02085 
0.05448 0.10000 -0.02057 
0.05463 0.10000 -0.01939 
0.05466 0.10000 -0.01914 
0.05481 0.10000 -0.01803 
0.05484 0.10000 -0.01782 
0.05500 0.10000 -0.01677 
0.05503 0.10000 -0.01658 
0.05518 0.10000 -0.01560 
0.05520 0.10000 -0.01543 
0.05535 0.10000 -0.01450 
0.05536 0.10000 -0.01436 
0.05546 0.10000 -0.01350 
0.05546 0.10000 -0.01338 
0.05547 0.10000 -0.01262 
0.05547 0.10000 -0.01251 
0.05548 0.10000 -0.01178 
0.05549 0.10000 -0.01168 
0.05556 0.10000 -0.01095 
0.05557 0.10000 -0.01086 
0.05559 0.10000 -0.01018 
0.05560 0.10000 -0.01010 
0.05559 0.10000 -0.00946 
0.05559 0.10000 -0.00938 
0.05557 0.10000 -0.00877 
0.05557 0.10000 -0.00870 
0.05549 0.10000 -0.00814 
0.05549 0.10000 -0.00807 
0.05544 0.10000 -0.00752 
0.05544 0.10000 -0.00745 
0.05539 0.10000 -0.00692 
0.05538 0.10000 -0.00686 
0.05529 0.10000 -0.00634 
0.05528 0.10000 -0.00628 
0.05517 0.10000 -0.00578 
0.05516 0.10000 -0.00572 
0.05507 0.10000 -0.00523 
0.05506 0.10000 -0.00518 
0.05498 0.10000 -0.00472 
0.05497 0.10000 -0.00467 
0.05485 0.10000 -0.00420 
0.05484 0.10000 -0.00415 
0.05471 0.10000 -0.00364 
0.05470 0.10000 -0.00358 
0.05459 0.10000 -0.00310 
0.05458 0.10000 -0.00305 
0.05446 0.10000 -0.00267 
0.05445 0.10000 -0.00263 
0.05431 0.10000 -0.00220 
0.05429 0.10000 -0.00215 
0.05411 0.10000 -0.00150 
0.05409 0.10000 -0.00143 
0.05391 0.10000 -0.00081 
0.05389 0.10000 -0.00073 
0.05377 0.10000 -0.00033 
0.05375 0.10000 -0.00028 
0.05370 0.10000 -0.00003 
0.05369 0.10000 0.00000 
0.05368 0.10000 0.00003 
0.05355 0.10000 0.00029 
0.05352 0.10000 0.00034 
0.05330 0.10000 0.00075 
0.05301 0.10000 0.00140 
0.05298 0.10000 0.00148 
0.05268 0.10000 0.00220 
0.05265 0.10000 0.00230 
0.05234 0.10000 0.00283 
0.05231 0.10000 0.00290 
0.05190 0.10000 0.00334 
0.05184 0.10000 0.00341 
0.05150 0.10000 0.00398 
0.05145 0.10000 0.00406 
0.05119 0.10000 0.00472 
0.05115 0.10000 0.00482 
0.05068 0.10000 0.00547 
0.05061 0.10000 0.00558 
0.05001 0.10000 0.00623 
0.04990 0.10000 0.00635 
0.04930 0.10000 0.00705 
0.04917 0.10000 0.00720 
0.04864 0.10000 0.00796 
0.04854 0.10000 0.00812 
0.04791 0.10000 0.00894 
0.04778 0.10000 0.00913 
0.04696 0.10000 0.01002 
0.04676 0.10000 0.01025 
0.04603 0.10000 0.01115 
0.04583 0.10000 0.01141 
