TITLE = "002_NACA0012_AE3933_01 | NACA0012 coordinates rotated +4 degrees about X=0.13335 m"
AUXDATA NUM_LAYERS = "1"
AUXDATA DATA_TYPE = "SLICE"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p9144_BINS03_KS_1mm_SINGLE_LAYER"
0.465152176082 0.9144 0.00954860971744
0.47340251396 0.9144 0.00854167134378
0.481643573763 0.9144 0.00752405976488
0.489896004336 0.9144 0.00648719446971
0.498129878757 0.9144 0.00542898276407
0.506375123949 0.9144 0.00435151734215
0.514611788629 0.9144 0.0032534030745
0.52210118757 0.9144 0.0022333523428
0.526787572903 0.9144 0.00158868768749
0.529712386892 0.9144 0.00119174546645
0.531545182848 0.9144 0.000928954704327
0.532689171778 0.9144 0.000768364147596
0.533397930084 0.9144 0.000667559071678
0.533403300868 0.9144 0.000447397415883
0.533398696011 0.9144 0.000226538195351
0.533394788719 0.9144 -4.29666568361e-06
0.533400159503 0.9144 -0.000224458321478
0.533395554646 0.9144 -0.00044531754201
0.533401622995 0.9144 -0.000675454838307
0.532686864702 0.9144 -0.000775557701916
