# XYZ HTC extracted from TC_NACA0012_3932_L1_cutData_V2.dat
# Source zone: SLICE_Y_0p9144_BINS15_KS_VAR_CUTDATA
VARIABLES = "X" "Y" "Z" "HTC"
ZONE T="BINS15_XYZ_HTC"
0.399422519	0.914400000	-0.001585980 149.270143300
0.396882873	0.914400000	-0.001142424 150.355947800
0.396882776	0.914400000	-0.001142407 150.355989200
0.394342839	0.914400000	-0.000700386 151.447473100
0.394342742	0.914400000	-0.000700369 151.447514800
0.391802538	0.914400000	-0.000259971 152.538473200
0.391802441	0.914400000	-0.000259954 152.538514900
0.391802344	0.914400000	-0.000259937 152.538555900
0.075647769	0.914400000	0.031915242	364.495979900
0.075647714	0.914400000	0.031915239	364.496070100
0.074210266	0.914400000	0.031848516	366.932042800
0.074210211	0.914400000	0.031848513	366.932135800
0.072772981	0.914400000	0.031777272	369.457775900
0.072772926	0.914400000	0.031777269	369.457872300
0.071335926	0.914400000	0.031701408	372.072861100
0.071335871	0.914400000	0.031701405	372.072960800
0.069899137	0.914400000	0.031620790	374.723494500
0.069899083	0.914400000	0.031620787	374.723595600
0.068462627	0.914400000	0.031535306	377.412817300
0.068462573	0.914400000	0.031535303	377.412919900
0.067026426	0.914400000	0.031444820	380.162204600
0.067026371	0.914400000	0.031444816	380.162309600
0.065590552	0.914400000	0.031349195	382.930304300
0.065590497	0.914400000	0.031349192	382.930409900
0.064155041	0.914400000	0.031248333	386.463652600
0.064154987	0.914400000	0.031248329	386.463778500
0.062719918	0.914400000	0.031142117	389.827805800
0.062719864	0.914400000	0.031142113	389.827942900
0.061285207	0.914400000	0.031030423	392.727035000
0.061285152	0.914400000	0.031030419	392.727162900
0.059850956	0.914400000	0.030912995	396.243442400
0.059850901	0.914400000	0.030912990	396.243559000
0.058417189	0.914400000	0.030789741	399.427347700
0.058417134	0.914400000	0.030789736	399.427486200
0.056983961	0.914400000	0.030660440	403.422131200
0.056983907	0.914400000	0.030660435	403.422266800
0.055551303	0.914400000	0.030524913	406.851732900
0.055551248	0.914400000	0.030524908	406.851863500
0.054119268	0.914400000	0.030383026	411.187335300
0.054119214	0.914400000	0.030383020	411.187499500
0.052687900	0.914400000	0.030234516	414.685467200
0.052687845	0.914400000	0.030234510	414.685603800
0.051257246	0.914400000	0.030079259	418.563654200
0.051257191	0.914400000	0.030079254	418.563799900
0.049827376	0.914400000	0.029916988	423.261394600
0.049827321	0.914400000	0.029916981	423.261575200
0.048398351	0.914400000	0.029747406	426.555166400
0.048398296	0.914400000	0.029747400	426.555299000
0.046970249	0.914400000	0.029570216	431.090508500
0.046970195	0.914400000	0.029570209	431.090676800
0.045543144	0.914400000	0.029385199	432.189913300
0.045543090	0.914400000	0.029385192	432.189945900
0.044117111	0.914400000	0.029192075	434.672002200
0.044117056	0.914400000	0.029192068	434.672102300
0.042692237	0.914400000	0.028990571	438.931607100
0.042692183	0.914400000	0.028990563	438.931769600
0.041268626	0.914400000	0.028780328	443.525425700
0.041268572	0.914400000	0.028780320	443.525600900
0.039846396	0.914400000	0.028560950	448.402168000
0.039846341	0.914400000	0.028560941	448.402354000
0.038425679	0.914400000	0.028331970	453.189914800
0.038425625	0.914400000	0.028331961	453.190097400
0.037006616	0.914400000	0.028092944	457.829704500
0.037006562	0.914400000	0.028092935	457.829881500
0.035589352	0.914400000	0.027843498	462.786527000
0.035589298	0.914400000	0.027843489	462.786716100
0.034174034	0.914400000	0.027583213	468.363824700
0.034173980	0.914400000	0.027583203	468.364067600
0.032760872	0.914400000	0.027311482	475.436292600
0.032760818	0.914400000	0.027311472	475.436580900
0.031350096	0.914400000	0.027027610	487.028691900
0.031350043	0.914400000	0.027027599	487.029094100
0.029941964	0.914400000	0.026730911	506.422591600
0.029941910	0.914400000	0.026730899	506.423352300
0.028536753	0.914400000	0.026420668	517.762039100
0.028536700	0.914400000	0.026420656	517.762533100
0.027134762	0.914400000	0.026096185	537.989639100
0.027134708	0.914400000	0.026096172	537.990382200
0.025736340	0.914400000	0.025756653	571.788535900
0.025736286	0.914400000	0.025756640	571.789689300
0.024341933	0.914400000	0.025400995	599.815951700
0.024341880	0.914400000	0.025400981	599.817159600
0.022952089	0.914400000	0.025027899	630.312245100
0.022952036	0.914400000	0.025027884	630.313398800
0.021567382	0.914400000	0.024636163	678.029666700
0.021567329	0.914400000	0.024636148	678.031553400
0.020188458	0.914400000	0.024224538	734.300579800
0.020188406	0.914400000	0.024224522	734.302646500
0.018816059	0.914400000	0.023791651	787.515562000
0.018816007	0.914400000	0.023791635	787.517689900
0.017451272	0.914400000	0.023335342	873.562953700
0.017451219	0.914400000	0.023335325	873.566240900
0.016095327	0.914400000	0.022853385	959.284772300
0.016095275	0.914400000	0.022853367	959.288090900
0.014749674	0.914400000	0.022343402	1068.415640924
0.014749622	0.914400000	0.022343382	1068.419731582
0.013415849	0.914400000	0.021803236	1209.143373884
0.013415798	0.914400000	0.021803216	1209.148903379
0.012096269	0.914400000	0.021229149	1389.190904469
0.012096218	0.914400000	0.021229128	1389.197690048
0.010793955	0.914400000	0.020616903	1582.483682534
0.010793905	0.914400000	0.020616880	1582.491437670
0.009512486	0.914400000	0.019962148	1850.968450397
0.009512437	0.914400000	0.019962123	1850.979010834
0.008256122	0.914400000	0.019260426	2174.838798754
0.008256074	0.914400000	0.019260399	2174.851505904
0.007086195	0.914400000	0.018539504	2546.304385534
0.007086150	0.914400000	0.018539477	2546.318901269
0.006029007	0.914399999	0.017817184	2779.290397216
0.006028967	0.914399999	0.017817157	2779.299374932
0.005073985	0.914400000	0.017091958	2883.331889609
0.005073948	0.914400000	0.017091930	2883.335840308
0.004234838	0.914400001	0.016379446	2944.148098316
0.004234805	0.914400001	0.016379419	2944.150396028
0.003496810	0.914400000	0.015673774	2966.394198505
0.003496782	0.914400000	0.015673747	2966.395082905
0.002843562	0.914400000	0.014965108	2947.645777131
0.002843537	0.914400000	0.014965081	2947.645037192
0.002275158	0.914399999	0.014259408	2893.967547945
