#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED X-coordinate of the iced surface
#             Y_ICED Y-coordinate of the iced surface
#             Z_ICED Z-coordinate of the iced surface
#
#    FLOW CONDITIONS:
#                                   AOA: 0.0 deg
#                           Mach Number: 0.3146 [-]
#       Mean aerodynamic chord M.A.C.: 21.0 [in]
#                       Reynolds Number: 3.9758 million based on MAC
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 115.5 [in2]
#               Moment Reference Center: 5.25, 0.0, 0.0 [in] X, Y, Z
#                           Roughness: 0.2 [mm]
#
#    ICING CONDITIONS:
#                           Icing Time: 420.0 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20.0 [um]
#                          Ice Density: 615.0 [kg/m3]
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "1"

VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p2mm_SINGLE_LAYER"
0.00802589 0.91440000 -0.01836801
0.00803504 0.91440000 -0.01837461
0.00878865 0.91440000 -0.01890344
0.00890549 0.91440000 -0.01898828
0.00952017 0.91440000 -0.01943506
0.00983209 0.91440000 -0.01964944
0.01054227 0.91440000 -0.02011324
0.01094359 0.91440000 -0.02035581
0.01186586 0.91440000 -0.02089582
0.01209980 0.91440000 -0.02103120
0.01321689 0.91440000 -0.02164385
0.01331443 0.91440000 -0.02169668
0.01340129 0.91440000 -0.02174316
0.01460779 0.91440000 -0.02238731
0.01496695 0.91440000 -0.02255672
0.01605890 0.91440000 -0.02306015
0.01628851 0.91440000 -0.02316810
0.01652245 0.91440000 -0.02325649
0.01745209 0.91440000 -0.02357882
0.01790116 0.91440000 -0.02365350
0.01860550 0.91440000 -0.02371750
0.01876450 0.91440000 -0.02373579
0.01889887 0.91440000 -0.02374240
0.01958086 0.91440000 -0.02374544
0.02027504 0.91440000 -0.02377491
0.02033321 0.91440000 -0.02377516
0.02038579 0.91440000 -0.02377872
0.02101317 0.91440000 -0.02375637
0.02148840 0.91440000 -0.02369083
0.02177821 0.91440000 -0.02362454
0.02243963 0.91440000 -0.02344649
0.02262886 0.91440000 -0.02339619
0.02269820 0.91440000 -0.02336902
0.02304059 0.91440000 -0.02324075
0.02355139 0.91440000 -0.02304415
0.02365096 0.91440000 -0.02299411
0.02416226 0.91440000 -0.02268118
0.02443505 0.91440000 -0.02251126
0.02474925 0.91440000 -0.02230780
0.02510257 0.91440000 -0.02208352
0.02548712 0.91440000 -0.02183282
0.02574138 0.91440000 -0.02166239
0.02627681 0.91440000 -0.02127021
0.02662555 0.91440000 -0.02104034
0.02721991 0.91440000 -0.02066468
0.02743810 0.91440000 -0.02053641
0.02783535 0.91440000 -0.02035505
0.02827020 0.91440000 -0.02015693
0.02845765 0.91440000 -0.02007083
0.02904642 0.91440000 -0.01977746
0.02923845 0.91440000 -0.01969084
0.02969793 0.91440000 -0.01949907
0.03001848 0.91440000 -0.01940230
0.03040837 0.91440000 -0.01929384
0.03099791 0.91440000 -0.01920773
0.03106090 0.91440000 -0.01919427
0.03122041 0.91440000 -0.01917598
0.03179013 0.91440000 -0.01910080
0.03195599 0.91440000 -0.01909369
0.03254629 0.91440000 -0.01916608
0.03288436 0.91440000 -0.01920062
0.03297250 0.91440000 -0.01921764
0.03307563 0.91440000 -0.01923898
0.03404286 0.91440000 -0.01942948
0.03426765 0.91440000 -0.01946199
0.03480791 0.91440000 -0.01953692
0.03533724 0.91440000 -0.01959737
0.03603879 0.91440000 -0.01967001
0.03644367 0.91440000 -0.01971345
0.03734359 0.91440000 -0.01981073
0.03739210 0.91440000 -0.01981581
0.03750386 0.91440000 -0.01982648
0.03820465 0.91440000 -0.01989404
0.03866693 0.91440000 -0.01993646
0.03908095 0.91440000 -0.01997354
0.03944417 0.91440000 -0.02000885
0.03977234 0.91440000 -0.02004009
0.04011016 0.91440000 -0.02007540
0.04049039 0.91440000 -0.02011680
0.04107256 0.91440000 -0.02017928
0.04118356 0.91440000 -0.02019097
0.04123512 0.91440000 -0.02019605
0.04194480 0.91440000 -0.02026361
0.04205732 0.91440000 -0.02027403
0.04233875 0.91440000 -0.02030247
0.04284929 0.91440000 -0.02035302
0.04306900 0.91440000 -0.02037613
0.04368063 0.91440000 -0.02044294
0.04378782 0.91440000 -0.02045386
0.04421454 0.91440000 -0.02049805
0.04432402 0.91440000 -0.02050898
0.04461459 0.91440000 -0.02053895
0.04500423 0.91440000 -0.02057756
0.04504080 0.91440000 -0.02058137
0.04545990 0.91440000 -0.02062378
0.04597425 0.91440000 -0.02067408
0.04603420 0.91440000 -0.02067966
0.04623968 0.91440000 -0.02069998
0.04671314 0.91440000 -0.02074697
0.04683430 0.91440000 -0.02075917
0.04746498 0.91440000 -0.02082267
0.04768088 0.91440000 -0.02084426
0.04825365 0.91440000 -0.02090293
0.04825492 0.91440000 -0.02090318
0.04871644 0.91440000 -0.02095043
0.04890567 0.91440000 -0.02097024
0.04945888 0.91440000 -0.02102536
0.04986274 0.91440000 -0.02106422
0.05042789 0.91440000 -0.02112416
0.05073828 0.91440000 -0.02115490
0.05119395 0.91440000 -0.02120290
0.05143957 0.91440000 -0.02122881
0.05198415 0.91440000 -0.02128342
0.05204435 0.91440000 -0.02128952
0.05206238 0.91440000 -0.02129130
0.05258765 0.91440000 -0.02134235
0.05270754 0.91440000 -0.02135403
0.05299431 0.91440000 -0.02138197
0.05325186 0.91440000 -0.02140687
0.05344211 0.91440000 -0.02142566
0.05361305 0.91440000 -0.02144268
0.05385308 0.91440000 -0.02146681
0.05402351 0.91440000 -0.02148434
0.05443347 0.91440000 -0.02152675
0.05462143 0.91440000 -0.02154657
0.05531206 0.91440000 -0.02161743
0.05547716 0.91440000 -0.02163343
0.05607380 0.91440000 -0.02169058
0.05608066 0.91440000 -0.02169135
0.05611368 0.91440000 -0.02169465
0.05652541 0.91440000 -0.02173453
0.05667832 0.91440000 -0.02174926
0.05694680 0.91440000 -0.02177593
0.05722874 0.91440000 -0.02180463
0.05759602 0.91440000 -0.02184248
0.05828233 0.91440000 -0.02191080
0.05828767 0.91440000 -0.02191131
0.05829402 0.91440000 -0.02191207
0.05894070 0.91440000 -0.02197456
0.05929909 0.91440000 -0.02200935
0.05946343 0.91440000 -0.02202536
0.05996762 0.91440000 -0.02207666
0.06000648 0.91440000 -0.02208073
0.06003671 0.91440000 -0.02208378
0.06031357 0.91440000 -0.02211121
0.06047207 0.91440000 -0.02212670
0.06050407 0.91440000 -0.02213000
0.06083732 0.91440000 -0.02216201
0.06118809 0.91440000 -0.02219630
0.06127293 0.91440000 -0.02220443
0.06168187 0.91440000 -0.02224405
0.06168542 0.91440000 -0.02224430
0.06169431 0.91440000 -0.02224532
0.06209106 0.91440000 -0.02228393
0.06234252 0.91440000 -0.02230882
0.06247867 0.91440000 -0.02232254
0.06256909 0.91440000 -0.02233092
0.06287618 0.91440000 -0.02236089
0.06331458 0.91440000 -0.02240382
0.06342888 0.91440000 -0.02241499
0.06355563 0.91440000 -0.02242744
0.06391961 0.91440000 -0.02246401
0.06427343 0.91440000 -0.02249907
0.06434836 0.91440000 -0.02250643
0.06462446 0.91440000 -0.02253361
0.06488227 0.91440000 -0.02255926
0.06492138 0.91440000 -0.02256307
0.06501333 0.91440000 -0.02257222
0.06524498 0.91440000 -0.02259508
0.06536309 0.91440000 -0.02260651
0.06563665 0.91440000 -0.02263242
0.06590411 0.91440000 -0.02265934
0.06619138 0.91440000 -0.02268855
0.06645427 0.91440000 -0.02272208
0.06675044 0.91440000 -0.02275916
0.06696608 0.91440000 -0.02278913
0.06721805 0.91440000 -0.02282317
0.06748780 0.91440000 -0.02286025
0.06761124 0.91440000 -0.02287753
0.06807378 0.91440000 -0.02294280
0.06809765 0.91440000 -0.02294611
0.06827063 0.91440000 -0.02297049
0.06851066 0.91440000 -0.02300453
0.06855663 0.91440000 -0.02301088
0.06881749 0.91440000 -0.02304796
0.06920814 0.91440000 -0.02310435
0.06927291 0.91440000 -0.02311375
0.06933286 0.91440000 -0.02312416
0.06979590 0.91440000 -0.02320646
0.07008927 0.91440000 -0.02326132
0.07033616 0.91440000 -0.02330806
0.07076745 0.91440000 -0.02338959
0.07082003 0.91440000 -0.02339975
0.07084797 0.91440000 -0.02340483
0.07141464 0.91440000 -0.02351049
0.07184822 0.91440000 -0.02359025
0.07196201 0.91440000 -0.02361108
0.07197268 0.91440000 -0.02361311
0.07228789 0.91440000 -0.02367051

ZONE T="SLICE_Y_0p9144_BINS03_KS_0p2mm_SINGLE_LAYER"
0.02414270 0.91440000 0.02534844
0.02353031 0.91440000 0.02521306
0.02350160 0.91440000 0.02520671
0.02329688 0.91440000 0.02516149
0.02305939 0.91440000 0.02510612
0.02242591 0.91440000 0.02496007
0.02205761 0.91440000 0.02487219
0.02177136 0.91440000 0.02480437
0.02138096 0.91440000 0.02471649
0.02115998 0.91440000 0.02467000
0.02082013 0.91440000 0.02460320
0.02069287 0.91440000 0.02457882
0.02056359 0.91440000 0.02455342
0.02016887 0.91440000 0.02447671
