#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 6
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_FINAL_LAYER"
0.12480 0.10000 0.03378 
0.12460 0.10000 0.03386 
0.12422 0.10000 0.03402 
0.12414 0.10000 0.03405 
0.12377 0.10000 0.03420 
0.12365 0.10000 0.03425 
0.12362 0.10000 0.03426 
0.12318 0.10000 0.03444 
0.12298 0.10000 0.03452 
0.12276 0.10000 0.03461 
0.12249 0.10000 0.03471 
0.12243 0.10000 0.03473 
0.12224 0.10000 0.03480 
0.12206 0.10000 0.03485 
0.12203 0.10000 0.03486 
0.12161 0.10000 0.03493 
0.12152 0.10000 0.03492 
0.12112 0.10000 0.03489 
0.12100 0.10000 0.03486 
0.12062 0.10000 0.03478 
0.12051 0.10000 0.03475 
0.12012 0.10000 0.03465 
0.11999 0.10000 0.03461 
0.11963 0.10000 0.03452 
0.11938 0.10000 0.03445 
0.11909 0.10000 0.03437 
0.11866 0.10000 0.03425 
0.11850 0.10000 0.03421 
0.11807 0.10000 0.03409 
0.11785 0.10000 0.03403 
0.11778 0.10000 0.03401 
0.11716 0.10000 0.03384 
0.11681 0.10000 0.03374 
0.11641 0.10000 0.03362 
0.11574 0.10000 0.03343 
0.11563 0.10000 0.03339 
0.11541 0.10000 0.03333 
0.11483 0.10000 0.03316 
0.11452 0.10000 0.03307 
0.11399 0.10000 0.03292 
0.11311 0.10000 0.03269 
0.11307 0.10000 0.03268 
0.11301 0.10000 0.03267 
0.11210 0.10000 0.03245 
0.11144 0.10000 0.03231 
0.11107 0.10000 0.03223 
0.11050 0.10000 0.03211 
0.10992 0.10000 0.03199 
0.10967 0.10000 0.03195 
0.10845 0.10000 0.03171 
0.10843 0.10000 0.03171 
0.10842 0.10000 0.03171 
0.10731 0.10000 0.03151 
0.10677 0.10000 0.03141 
0.10626 0.10000 0.03132 
0.10583 0.10000 0.03125 
0.10536 0.10000 0.03117 
0.10462 0.10000 0.03104 
0.10460 0.10000 0.03104 
0.10459 0.10000 0.03104 
0.10389 0.10000 0.03092 
0.10340 0.10000 0.03084 
0.10323 0.10000 0.03081 
0.10298 0.10000 0.03077 
0.10261 0.10000 0.03071 
0.10233 0.10000 0.03066 
0.10204 0.10000 0.03061 
0.10170 0.10000 0.03056 
0.10150 0.10000 0.03053 
0.10131 0.10000 0.03049 
0.10098 0.10000 0.03044 
0.10066 0.10000 0.03039 
0.10050 0.10000 0.03036 
0.10033 0.10000 0.03034 
0.10003 0.10000 0.03029 
0.09981 0.10000 0.03026 
0.09962 0.10000 0.03023 
0.09928 0.10000 0.03021 
0.09915 0.10000 0.03020 
0.09875 0.10000 0.03022 
0.09864 0.10000 0.03023 
0.09822 0.10000 0.03028 
0.09812 0.10000 0.03030 
0.09771 0.10000 0.03037 
0.09759 0.10000 0.03040 
0.09721 0.10000 0.03058 
0.09712 0.10000 0.03064 
0.09681 0.10000 0.03099 
0.09679 0.10000 0.03102 
0.09664 0.10000 0.03125 
0.09653 0.10000 0.03143 
0.09651 0.10000 0.03146 
0.09629 0.10000 0.03186 
0.09626 0.10000 0.03192 
0.09605 0.10000 0.03230 
0.09600 0.10000 0.03237 
0.09571 0.10000 0.03271 
0.09566 0.10000 0.03275 
0.09525 0.10000 0.03303 
0.09522 0.10000 0.03304 
0.09508 0.10000 0.03311 
0.09477 0.10000 0.03324 
0.09469 0.10000 0.03327 
0.09429 0.10000 0.03338 
0.09406 0.10000 0.03342 
0.09381 0.10000 0.03345 
0.09344 0.10000 0.03347 
0.09333 0.10000 0.03348 
0.09286 0.10000 0.03347 
0.09282 0.10000 0.03347 
0.09281 0.10000 0.03347 
0.09229 0.10000 0.03342 
0.09215 0.10000 0.03341 
0.09173 0.10000 0.03335 
0.09139 0.10000 0.03329 
0.09112 0.10000 0.03325 
0.09056 0.10000 0.03315 
0.09042 0.10000 0.03312 
0.09006 0.10000 0.03306 
0.08985 0.10000 0.03302 
0.08975 0.10000 0.03300 
0.08924 0.10000 0.03292 
0.08891 0.10000 0.03287 
0.08863 0.10000 0.03283 
0.08811 0.10000 0.03277 
0.08806 0.10000 0.03276 
0.08802 0.10000 0.03276 
0.08752 0.10000 0.03270 
0.08710 0.10000 0.03266 
0.08703 0.10000 0.03266 
0.08694 0.10000 0.03265 
0.08656 0.10000 0.03262 
