#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_SINGLE_LAYER"
1.077690274E-01 9.143999815E-01 3.239998966E-02
1.064637974E-01 9.143999815E-01 3.241150454E-02
1.051585376E-01 9.143999815E-01 3.242301941E-02
1.039154306E-01 9.143999815E-01 3.242940828E-02
1.026722938E-01 9.143999815E-01 3.243579715E-02
1.014883667E-01 9.143999815E-01 3.243761882E-02
1.003044099E-01 9.143999815E-01 3.243944049E-02
9.917686135E-02 9.143999815E-01 3.243719041E-02
9.804928303E-02 9.143999815E-01 3.243494034E-02
9.697543830E-02 9.143999815E-01 3.242906556E-02
9.590157866E-02 9.143999815E-01 3.242318705E-02
9.487888962E-02 9.143999815E-01 3.241412714E-02
9.385618567E-02 9.143999815E-01 3.240506351E-02
9.288223088E-02 9.143999815E-01 3.239322826E-02
9.190826118E-02 9.143999815E-01 3.238139302E-02
9.096148610E-02 9.143999815E-01 3.236673027E-02
9.001469612E-02 9.143999815E-01 3.235206753E-02
8.906313777E-02 9.143999815E-01 3.233413398E-02
8.811160177E-02 9.143999815E-01 3.231620044E-02
8.715192229E-02 9.143999815E-01 3.229485080E-02
8.619222790E-02 9.143999815E-01 3.227350116E-02
8.523263037E-02 9.143999815E-01 3.224878013E-02
8.427301049E-02 9.143999815E-01 3.222405538E-02
8.331350982E-02 9.143999815E-01 3.219588473E-02
8.235399425E-02 9.143999815E-01 3.216771036E-02
8.139459789E-02 9.143999815E-01 3.213597462E-02
8.043518662E-02 9.143999815E-01 3.210423887E-02
7.947592437E-02 9.143999815E-01 3.206882253E-02
7.851664722E-02 9.143999815E-01 3.203340620E-02
7.755753398E-02 9.143999815E-01 3.199421242E-02
7.659840584E-02 9.143999815E-01 3.195501864E-02
7.563945651E-02 9.143999815E-01 3.191193566E-02
7.468049228E-02 9.143999815E-01 3.186885640E-02
7.372172922E-02 9.143999815E-01 3.182178363E-02
7.276295871E-02 9.143999815E-01 3.177470714E-02
7.180441171E-02 9.143999815E-01 3.172351420E-02
7.084584236E-02 9.143999815E-01 3.167231753E-02
6.988752633E-02 9.143999815E-01 3.161685914E-02
6.892920285E-02 9.143999815E-01 3.156139702E-02
6.797115505E-02 9.143999815E-01 3.150152415E-02
6.701309979E-02 9.143999815E-01 3.144165128E-02
6.605535001E-02 9.143999815E-01 3.137722611E-02
6.509758532E-02 9.143999815E-01 3.131279722E-02
6.414016336E-02 9.143999815E-01 3.124367073E-02
6.318272650E-02 9.143999815E-01 3.117454425E-02
6.222566962E-02 9.143999815E-01 3.110054880E-02
6.126859412E-02 9.143999815E-01 3.102655336E-02
6.031194329E-02 9.143999815E-01 3.094748966E-02
5.935527384E-02 9.143999815E-01 3.086842410E-02
5.839907750E-02 9.143999815E-01 3.078408912E-02
5.744285882E-02 9.143999815E-01 3.069975227E-02
5.648715794E-02 9.143999815E-01 3.060993738E-02
5.553144217E-02 9.143999815E-01 3.052011877E-02
5.457629636E-02 9.143999815E-01 3.042461351E-02
5.362113193E-02 9.143999815E-01 3.032910638E-02
5.266659334E-02 9.143999815E-01 3.022768162E-02
5.171203986E-02 9.143999815E-01 3.012625501E-02
5.075818673E-02 9.143999815E-01 3.001863137E-02
4.980431125E-02 9.143999815E-01 2.991100773E-02
4.885121062E-02 9.143999815E-01 2.979688346E-02
4.789809510E-02 9.143999815E-01 2.968275547E-02
4.694584012E-02 9.143999815E-01 2.956180833E-02
4.599356651E-02 9.143999815E-01 2.944085747E-02
4.504225031E-02 9.143999815E-01 2.931275591E-02
4.409091547E-02 9.143999815E-01 2.918465436E-02
4.314063862E-02 9.143999815E-01 2.904905751E-02
4.219033942E-02 9.143999815E-01 2.891346067E-02
4.124122858E-02 9.143999815E-01 2.876994386E-02
4.029209912E-02 9.143999815E-01 2.862642705E-02
3.934429958E-02 9.143999815E-01 2.847449668E-02
3.839648142E-02 9.143999815E-01 2.832256258E-02
3.745016083E-02 9.143999815E-01 2.816171199E-02
3.650381789E-02 9.143999815E-01 2.800085768E-02
3.555915132E-02 9.143999815E-01 2.783056535E-02
3.461446613E-02 9.143999815E-01 2.766027115E-02
3.367167339E-02 9.143999815E-01 2.747992426E-02
3.272886202E-02 9.143999815E-01 2.729957178E-02
3.178820759E-02 9.143999815E-01 2.710840106E-02
3.084753267E-02 9.143999815E-01 2.691722661E-02
2.990932763E-02 9.143999815E-01 2.671440318E-02
2.897110395E-02 9.143999815E-01 2.651157603E-02
2.803569473E-02 9.143999815E-01 2.629624680E-02
2.710026689E-02 9.143999815E-01 2.608091570E-02
2.616808563E-02 9.143999815E-01 2.585206367E-02
2.523588389E-02 9.143999815E-01 2.562320791E-02
2.430747822E-02 9.143999815E-01 2.537953481E-02
2.337905392E-02 9.143999815E-01 2.513585798E-02
2.245508321E-02 9.143999815E-01 2.487592585E-02
2.153109573E-02 9.143999815E-01 2.461598814E-02
2.061234415E-02 9.143999815E-01 2.433823235E-02
1.969357394E-02 9.143999815E-01 2.406047098E-02
1.878106967E-02 9.143999815E-01 2.376292460E-02
1.786854677E-02 9.143999815E-01 2.346537076E-02
1.696364023E-02 9.143999815E-01 2.314556763E-02
1.605871506E-02 9.143999815E-01 2.282575890E-02
1.516309939E-02 9.143999815E-01 2.248092368E-02
1.426746510E-02 9.143999815E-01 2.213608474E-02
1.338341553E-02 9.143999815E-01 2.176278830E-02
1.249934919E-02 9.143999815E-01 2.138948441E-02
1.163005363E-02 9.143999815E-01 2.098328061E-02
1.076074038E-02 9.143999815E-01 2.057706751E-02
9.836023673E-03 9.143999815E-01 2.026583999E-02
8.911288343E-03 9.143999815E-01 1.995460689E-02
7.828922011E-03 9.143999815E-01 1.990414597E-02
6.746524014E-03 9.143999815E-01 1.985369809E-02
5.530922208E-03 9.144000411E-01 1.998694427E-02
4.315299913E-03 9.144000411E-01 2.012018487E-02
3.047485370E-03 9.143999815E-01 2.025603317E-02
1.779656392E-03 9.143999815E-01 2.039186656E-02
4.822017800E-04 9.143999815E-01 2.044158429E-02
-8.152921218E-04 9.143999815E-01 2.049131319E-02
-2.142298734E-03 9.144000411E-01 2.041142620E-02
-3.469346557E-03 9.144000411E-01 2.033154853E-02
-4.811752122E-03 9.143999815E-01 2.007967047E-02
-6.154211704E-03 9.143999815E-01 1.982780546E-02
-7.487873547E-03 9.143999815E-01 1.936753839E-02
-8.821637370E-03 9.143999815E-01 1.890729554E-02
-1.135118585E-02 9.144000411E-01 1.866778359E-02
-1.389325596E-02 9.144000411E-01 1.843287423E-02
-1.714522019E-02 9.143999815E-01 1.800050214E-02
-2.038807422E-02 9.143999815E-01 1.756582968E-02
-2.123276517E-02 9.143999815E-01 1.606998593E-02
-2.206063643E-02 9.143999815E-01 1.456892397E-02
-2.106127702E-02 9.143999815E-01 1.267592143E-02
-2.006642334E-02 9.143999815E-01 1.078508142E-02
-1.928687096E-02 9.143999815E-01 9.136259556E-03
-1.850813627E-02 9.143999815E-01 7.488329895E-03
-1.760299876E-02 9.143999815E-01 6.062916946E-03
-1.670411974E-02 9.143999815E-01 4.637151025E-03
-1.535886433E-02 9.143999815E-01 3.492993768E-03
-1.402096916E-02 9.143999815E-01 2.347133588E-03
-1.235753298E-02 9.143999815E-01 1.575153670E-03
-1.069432124E-02 9.143999815E-01 8.026316646E-04
-9.032224305E-03 9.144000411E-01 3.208334092E-04
-7.366945501E-03 9.144000411E-01 -1.600922405E-04
-6.278007757E-03 9.143999815E-01 -7.474223967E-04
-5.187650677E-03 9.143999815E-01 -1.334266854E-03
-4.682654981E-03 9.143999815E-01 -2.246062970E-03
-4.177233670E-03 9.143999815E-01 -3.157716477E-03
-3.772233147E-03 9.143999815E-01 -4.220806528E-03
-3.366406076E-03 9.143999815E-01 -5.283266306E-03
-2.835347783E-03 9.143999815E-01 -6.355989724E-03
-2.303509042E-03 9.143999815E-01 -7.427965757E-03
-1.607905608E-03 9.144000411E-01 -8.460997604E-03
-9.121487965E-04 9.144000411E-01 -9.493805468E-03
-5.714861982E-05 9.144000411E-01 -1.042629685E-02
