#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 1
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p9144_BINS07_KS_0p5334mm_SINGLE_LAYER"
0.27258 0.91440 -0.03751 
0.27258 0.91440 -0.03751 
0.26931 0.91440 -0.03750 
0.26931 0.91440 -0.03750 
0.26604 0.91440 -0.03748 
0.26604 0.91440 -0.03748 
0.26278 0.91440 -0.03746 
0.26278 0.91440 -0.03746 
0.25951 0.91440 -0.03743 
0.25951 0.91440 -0.03743 
0.25625 0.91440 -0.03740 
0.25625 0.91440 -0.03740 
0.25298 0.91440 -0.03736 
0.25298 0.91440 -0.03736 
0.24868 0.91440 -0.03731 
0.24526 0.91440 -0.03726 
0.24508 0.91440 -0.03726 
0.24477 0.91440 -0.03725 
0.24127 0.91440 -0.03720 
0.24018 0.91440 -0.03718 
0.23755 0.91440 -0.03713 
0.23672 0.91440 -0.03711 
0.23415 0.91440 -0.03706 
0.23356 0.91440 -0.03705 
0.23106 0.91440 -0.03700 
0.23083 0.91440 -0.03699 
0.22778 0.91440 -0.03692 
0.22760 0.91440 -0.03692 
0.22462 0.91440 -0.03685 
0.22442 0.91440 -0.03684 
0.22159 0.91440 -0.03677 
0.22133 0.91440 -0.03676 
0.21849 0.91440 -0.03668 
0.21821 0.91440 -0.03668 
0.21538 0.91440 -0.03659 
0.21485 0.91440 -0.03658 
0.21232 0.91440 -0.03650 
0.21213 0.91440 -0.03649 
0.21143 0.91440 -0.03647 
0.20959 0.91440 -0.03641 
0.20874 0.91440 -0.03638 
0.20679 0.91440 -0.03631 
0.20498 0.91440 -0.03625 
0.20385 0.91440 -0.03621 
0.20097 0.91440 -0.03610 
0.20065 0.91440 -0.03609 
0.20028 0.91440 -0.03607 
0.19815 0.91440 -0.03599 
0.19667 0.91440 -0.03593 
0.19548 0.91440 -0.03588 
0.19298 0.91440 -0.03577 
0.19259 0.91440 -0.03575 
0.19179 0.91440 -0.03572 
0.18954 0.91440 -0.03562 
0.18816 0.91440 -0.03555 
0.18670 0.91440 -0.03548 
0.18545 0.91440 -0.03542 
0.18394 0.91440 -0.03535 
0.18239 0.91440 -0.03527 
0.18029 0.91440 -0.03516 
0.17985 0.91440 -0.03514 
0.17915 0.91440 -0.03510 
0.17761 0.91440 -0.03502 
0.17652 0.91440 -0.03496 
0.17516 0.91440 -0.03489 
0.17304 0.91440 -0.03477 
0.17163 0.91440 -0.03468 
0.16866 0.91440 -0.03451 
0.16805 0.91440 -0.03447 
0.16720 0.91440 -0.03442 
0.16465 0.91440 -0.03426 
0.16260 0.91440 -0.03412 
0.16208 0.91440 -0.03409 
0.16148 0.91440 -0.03405 
0.15938 0.91440 -0.03391 
0.15749 0.91440 -0.03378 
0.15730 0.91440 -0.03376 
0.15628 0.91440 -0.03369 
0.15458 0.91440 -0.03357 
0.15440 0.91440 -0.03355 
0.15394 0.91440 -0.03352 
0.15128 0.91440 -0.03332 
0.14986 0.91440 -0.03321 
0.14826 0.91440 -0.03309 
0.14585 0.91440 -0.03290 
0.14547 0.91440 -0.03287 
0.14440 0.91440 -0.03278 
0.14257 0.91440 -0.03263 
0.14206 0.91440 -0.03259 
0.14054 0.91440 -0.03246 
0.13887 0.91440 -0.03231 
0.13802 0.91440 -0.03224 
0.13611 0.91440 -0.03207 
0.13407 0.91440 -0.03188 
0.13354 0.91440 -0.03183 
0.13234 0.91440 -0.03172 
0.13098 0.91440 -0.03159 
0.12844 0.91440 -0.03135 
0.12836 0.91440 -0.03134 
0.12834 0.91440 -0.03134 
0.12533 0.91440 -0.03104 
0.12471 0.91440 -0.03097 
0.12229 0.91440 -0.03072 
0.12111 0.91440 -0.03060 
0.11902 0.91440 -0.03037 
0.11835 0.91440 -0.03030 
0.11752 0.91440 -0.03021 
0.11559 0.91440 -0.02999 
0.11375 0.91440 -0.02978 
0.11300 0.91440 -0.02969 
0.11170 0.91440 -0.02954 
0.10998 0.91440 -0.02933 
0.10915 0.91440 -0.02923 
