#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 5
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
0.43034 0.75273 -0.00982 
0.43032 0.75261 -0.00913 
0.43027 0.75252 -0.00849 
0.43018 0.75245 -0.00789 
0.43002 0.75244 -0.00735 
0.42981 0.75246 -0.00686 
0.42964 0.75247 -0.00636 
0.42948 0.75248 -0.00585 
0.42926 0.75254 -0.00536 
0.42901 0.75261 -0.00491 
0.42903 0.75254 -0.00441 
0.42912 0.75244 -0.00386 
0.42881 0.75257 -0.00335 
0.42861 0.75264 -0.00289 
0.42893 0.75243 -0.00247 
0.42900 0.75235 -0.00196 
0.42849 0.75263 -0.00130 
0.42866 0.75251 -0.00068 
0.42986 0.75182 -0.00026 
0.43077 0.75129 0.00000 
0.42991 0.75179 0.00026 
0.42860 0.75255 0.00069 
0.42744 0.75323 0.00136 
0.42689 0.75357 0.00222 
0.42668 0.75372 0.00285 
0.42627 0.75399 0.00330 
0.42577 0.75432 0.00395 
0.42540 0.75458 0.00477 
0.42502 0.75485 0.00553 
0.42457 0.75517 0.00624 
0.42418 0.75547 0.00702 
0.42384 0.75574 0.00789 
0.42350 0.75602 0.00880 
0.42312 0.75632 0.00973 
0.42276 0.75663 0.01069 
0.42244 0.75692 0.01170 
0.42216 0.75720 0.01277 
0.42189 0.75748 0.01388 
0.42163 0.75777 0.01504 
0.42139 0.75805 0.01624 
0.42119 0.75833 0.01749 
0.42102 0.75859 0.01879 
0.42089 0.75885 0.02013 
0.42080 0.75909 0.02153 
0.42076 0.75932 0.02298 
0.42078 0.75953 0.02448 
0.42085 0.75972 0.02602 
0.42099 0.75990 0.02760 
0.42119 0.76004 0.02923 
0.42147 0.76017 0.03089 
0.42184 0.76026 0.03259 
0.42232 0.76031 0.03431 
0.42291 0.76032 0.03605 
0.42362 0.76028 0.03779 
0.42446 0.76019 0.03951 
0.42541 0.76006 0.04122 
0.42649 0.75988 0.04290 
0.42775 0.75963 0.04448 
0.42920 0.75929 0.04590 
0.43085 0.75888 0.04712 
0.43269 0.75839 0.04809 
0.43487 0.75774 0.04838 
0.43745 0.75690 0.04768 
0.44025 0.75596 0.04624 
0.44317 0.75500 0.04418 
0.44621 0.75402 0.04136 
0.44942 0.75297 0.03746 
0.45295 0.75179 0.03171 
0.45649 0.75065 0.02502 
0.45933 0.75000 0.02076 
0.46119 0.75000 0.02114 
0.46317 0.75000 0.02152 
0.46529 0.75000 0.02191 
0.46754 0.75000 0.02229 
0.46995 0.75000 0.02269 
0.47252 0.75000 0.02310 
0.47525 0.75000 0.02352 
0.47816 0.75000 0.02395 
0.48127 0.75000 0.02441 
0.48458 0.75000 0.02488 
0.48810 0.75000 0.02536 
0.49185 0.75000 0.02585 
0.49584 0.75000 0.02636 
0.50008 0.75000 0.02687 
0.50459 0.75000 0.02740 
0.50938 0.75000 0.02794 
0.51446 0.75000 0.02848 
0.51986 0.75000 0.02903 
0.52558 0.75000 0.02958 
0.53163 0.75000 0.03013 
0.53804 0.75000 0.03069 
0.54481 0.75000 0.03124 
0.55196 0.75000 0.03179 
0.55950 0.75000 0.03234 
0.56743 0.75000 0.03287 
0.57578 0.75000 0.03340 
0.58454 0.75000 0.03392 
0.59372 0.75000 0.03442 
0.60333 0.75000 0.03490 
0.61337 0.75000 0.03536 
0.62383 0.75000 0.03580 
0.63472 0.75000 0.03622 
0.64602 0.75000 0.03660 
0.65773 0.75000 0.03694 
0.66984 0.75000 0.03723 
0.68232 0.75000 0.03748 
0.69516 0.75000 0.03767 
0.70833 0.75000 0.03779 
0.72180 0.75000 0.03784 
0.73556 0.75000 0.03782 
0.74955 0.75000 0.03770 
0.76376 0.75000 0.03750 
0.77813 0.75000 0.03720 
0.79263 0.75000 0.03681 
0.80722 0.75000 0.03632 
0.82185 0.75000 0.03574 
0.83648 0.75000 0.03507 
0.85106 0.75000 0.03432 
0.86556 0.75000 0.03350 
0.87994 0.75000 0.03261 
0.89414 0.75000 0.03167 
0.90814 0.75000 0.03069 
0.92189 0.75000 0.02967 
0.93537 0.75000 0.02864 
0.94854 0.75000 0.02759 
0.96138 0.75000 0.02653 
0.97386 0.75000 0.02548 
0.98596 0.75000 0.02443 
0.99767 0.75000 0.02340 
1.00898 0.75000 0.02239 
1.01986 0.75000 0.02139 
1.03033 0.75000 0.02041 
1.04037 0.75000 0.01946 
1.04998 0.75000 0.01853 
1.05916 0.75000 0.01762 
1.06792 0.75000 0.01674 
1.07626 0.75000 0.01588 
1.08420 0.75000 0.01505 
1.09174 0.75000 0.01424 
1.09888 0.75000 0.01347 
1.10565 0.75000 0.01272 
1.11206 0.75000 0.01200 
1.11812 0.75000 0.01131 
1.12384 0.75000 0.01065 
1.12923 0.75000 0.01002 
1.13432 0.75000 0.00942 
1.13911 0.75000 0.00884 
1.14362 0.75000 0.00830 
1.14786 0.75000 0.00778 
1.15185 0.75000 0.00730 
1.15560 0.75000 0.00684 
1.15912 0.75000 0.00640 
1.16243 0.75000 0.00599 
